	ADJ	VERB	NOUN	ADV
wm_pos_macro	0.9221421862537471	0.8195379006014294	0.90911745747487	0.9367271417292496
wm_pos_micro	0.9390055481424258	0.8216759453401778	0.925402593783743	0.9462391513982642
pos_match	26741.0	56823.0	79704.0	11775.0
pos_not_match	1737.0	12332.0	6425.0	669.0
mfs_pos_macro	0.7331213516565168	0.4551270272885938	0.6791192020526169	0.8127196253915441
mfs_pos_micro	0.838682491748016	0.6134914322897839	0.7983373776544487	0.8783349405335905
mfs_pos_match	23884.0	42426.0	68760.0	10930.0
mfs_pos_not_match	4594.0	26729.0	17369.0	1514.0
