	ADJ	VERB	NOUN	ADV
wm_pos_macro	0.7871030679653817	0.6355208843543393	0.7559007465078341	0.8419780607882467
wm_pos_micro	0.8876676732916637	0.8052635384281686	0.8691613742177432	0.9040501446480231
pos_match	25279.0	55688.0	74860.0	11250.0
pos_not_match	3199.0	13467.0	11269.0	1194.0
mfs_pos_macro	0.7331213516565168	0.4551270272885938	0.6791192020526169	0.812719625391544
mfs_pos_micro	0.838682491748016	0.6134914322897839	0.7983373776544487	0.8783349405335905
mfs_pos_match	23884.0	42426.0	68760.0	10930.0
mfs_pos_not_match	4594.0	26729.0	17369.0	1514.0
