	ADJ	VERB	NOUN	ADV
wm_pos_macro	0.976822658258291	0.9399320719276084	0.9702585333218013	0.9721748842376022
wm_pos_micro	0.9705035465973734	0.8956113079314583	0.9618595362769798	0.9597396335583414
pos_match	27638.0	61936.0	82844.0	11943.0
pos_not_match	840.0	7219.0	3285.0	501.0
mfs_pos_macro	0.7331213516565168	0.4551270272885938	0.6791192020526169	0.812719625391544
mfs_pos_micro	0.838682491748016	0.6134914322897839	0.7983373776544487	0.8783349405335905
mfs_pos_match	23884.0	42426.0	68760.0	10930.0
mfs_pos_not_match	4594.0	26729.0	17369.0	1514.0
