	ADJ	VERB	NOUN	ADV
wm_pos_macro	0.976189269101728	0.9373591963093144	0.9684727642987622	0.9709866895236998
wm_pos_micro	0.9702577428190182	0.8937748535897622	0.961046801890188	0.9581324333011894
pos_match	27631.0	61809.0	82774.0	11923.0
pos_not_match	847.0	7346.0	3355.0	521.0
mfs_pos_macro	0.7331213516565168	0.4551270272885938	0.6791192020526169	0.812719625391544
mfs_pos_micro	0.838682491748016	0.6134914322897839	0.7983373776544487	0.8783349405335905
mfs_pos_match	23884.0	42426.0	68760.0	10930.0
mfs_pos_not_match	4594.0	26729.0	17369.0	1514.0
