	ADJ	VERB	NOUN	ADV
wm_pos_macro	0.7849958923824856	0.6282129034263917	0.7504774292854001	0.8433579126534905
wm_pos_micro	0.885701243064822	0.8008676162244234	0.8661542569866131	0.9036483445837351
pos_match	25223.0	55384.0	74601.0	11245.0
pos_not_match	3255.0	13771.0	11528.0	1199.0
mfs_pos_macro	0.7331213516565168	0.4551270272885938	0.6791192020526169	0.8127196253915441
mfs_pos_micro	0.838682491748016	0.6134914322897839	0.7983373776544487	0.8783349405335905
mfs_pos_match	23884.0	42426.0	68760.0	10930.0
mfs_pos_not_match	4594.0	26729.0	17369.0	1514.0
