	ADJ	VERB	NOUN	ADV
wm_pos_macro	0.9151812573039927	0.807231767934572	0.8996349274049731	0.935097684831591
wm_pos_micro	0.9365826251843529	0.8155158701467717	0.9212576484111042	0.9442301510768242
pos_match	26672.0	56397.0	79347.0	11750.0
pos_not_match	1806.0	12758.0	6782.0	694.0
mfs_pos_macro	0.7331213516565168	0.4551270272885938	0.6791192020526169	0.8127196253915441
mfs_pos_micro	0.838682491748016	0.6134914322897839	0.7983373776544487	0.8783349405335905
mfs_pos_match	23884.0	42426.0	68760.0	10930.0
mfs_pos_not_match	4594.0	26729.0	17369.0	1514.0
