	ADJ	VERB	NOUN	ADV
wm_pos_macro	0.9259988081979904	0.821479499146691	0.9108134083137852	0.9357716702413875
wm_pos_micro	0.9412177821476228	0.8233677969778035	0.9262849911179742	0.946882031501125
pos_match	26804.0	56940.0	79780.0	11783.0
pos_not_match	1674.0	12215.0	6349.0	661.0
mfs_pos_macro	0.7331213516565168	0.4551270272885938	0.6791192020526169	0.8127196253915439
mfs_pos_micro	0.838682491748016	0.6134914322897839	0.7983373776544487	0.8783349405335905
mfs_pos_match	23884.0	42426.0	68760.0	10930.0
mfs_pos_not_match	4594.0	26729.0	17369.0	1514.0
