	ADJ	VERB	NOUN	ADV
wm_pos_macro	0.7847902499239311	0.6332642723271391	0.7552494773295879	0.8444169858024319
wm_pos_micro	0.8864035395744083	0.8029065143518184	0.8676403998653183	0.90549662487946
pos_match	25243.0	55525.0	74729.0	11268.0
pos_not_match	3235.0	13630.0	11400.0	1176.0
mfs_pos_macro	0.7331213516565168	0.4551270272885938	0.6791192020526169	0.8127196253915441
mfs_pos_micro	0.838682491748016	0.6134914322897839	0.7983373776544487	0.8783349405335905
mfs_pos_match	23884.0	42426.0	68760.0	10930.0
mfs_pos_not_match	4594.0	26729.0	17369.0	1514.0
