	ADJ	VERB	NOUN	ADV
wm_pos_macro	0.6670498843741142	0.35746379246391524	0.5947486822547704	0.727208387143075
wm_pos_micro	0.8011375605645671	0.5673432801295397	0.7525800722071951	0.8258354755784063
pos_match	22818.0	39242.0	64828.0	10280.0
pos_not_match	5664.0	29926.0	21313.0	2168.0
mfs_pos_macro	0.6670498843741142	0.35746379246391524	0.5947486822547704	0.727208387143075
mfs_pos_micro	0.8011375605645671	0.5673432801295397	0.7525800722071951	0.8258354755784063
mfs_pos_match	22818.0	39242.0	64828.0	10280.0
mfs_pos_not_match	5664.0	29926.0	21313.0	2168.0
