	ADJ	VERB	NOUN	ADV
wm_pos_macro	0.8950926414265443	0.7790696282234814	0.8794089244937991	0.9221186239040026
wm_pos_micro	0.9292085118336962	0.8026028486732701	0.9135831137015407	0.93900675024108
pos_match	26462.0	55504.0	78686.0	11685.0
pos_not_match	2016.0	13651.0	7443.0	759.0
mfs_pos_macro	0.7331213516565168	0.4551270272885938	0.6791192020526169	0.8127196253915439
mfs_pos_micro	0.838682491748016	0.6134914322897839	0.7983373776544487	0.8783349405335905
mfs_pos_match	23884.0	42426.0	68760.0	10930.0
mfs_pos_not_match	4594.0	26729.0	17369.0	1514.0
