	ADJ	VERB	NOUN	ADV
wm_pos_macro	0.9725361981754347	0.9296600264627638	0.9646707387060649	0.9712985830023616
wm_pos_micro	0.9672729826532762	0.8867037813607115	0.9580048531853382	0.9592574734811957
pos_match	27546.0	61320.0	82512.0	11937.0
pos_not_match	932.0	7835.0	3617.0	507.0
mfs_pos_macro	0.7331213516565168	0.4551270272885938	0.6791192020526169	0.812719625391544
mfs_pos_micro	0.838682491748016	0.6134914322897839	0.7983373776544487	0.8783349405335905
mfs_pos_match	23884.0	42426.0	68760.0	10930.0
mfs_pos_not_match	4594.0	26729.0	17369.0	1514.0
