	ADJ	VERB	NOUN	ADV
wm_pos_macro	0.784917856813418	0.6242956374088195	0.7509492367589036	0.843085159013692
wm_pos_micro	0.8853852096355083	0.7969633432145181	0.8663748563201709	0.9034876245580199
pos_match	25214.0	55114.0	74620.0	11243.0
pos_not_match	3264.0	14041.0	11509.0	1201.0
mfs_pos_macro	0.7331213516565168	0.4551270272885938	0.6791192020526169	0.812719625391544
mfs_pos_micro	0.838682491748016	0.6134914322897839	0.7983373776544487	0.8783349405335905
mfs_pos_match	23884.0	42426.0	68760.0	10930.0
mfs_pos_not_match	4594.0	26729.0	17369.0	1514.0
