	ADJ	VERB	NOUN	ADV
wm_pos_macro	0.9763103158511793	0.9406437115565223	0.9705204973659288	0.9701561627099746
wm_pos_micro	0.9710653838050425	0.8953076422529102	0.9610119704164684	0.9597396335583414
pos_match	27654.0	61915.0	82771.0	11943.0
pos_not_match	824.0	7240.0	3358.0	501.0
mfs_pos_macro	0.7331213516565168	0.4551270272885938	0.6791192020526169	0.8127196253915441
mfs_pos_micro	0.838682491748016	0.6134914322897839	0.7983373776544487	0.8783349405335905
mfs_pos_match	23884.0	42426.0	68760.0	10930.0
mfs_pos_not_match	4594.0	26729.0	17369.0	1514.0
